User_ID,Category,Location_ID,Visitor_Count,Rating,Post_Content,Sentiment_Label,Cultural_Diversity_Index,Geometry_Parameters
USR_0164,Музеи и искусство,LOC_019,244,4.2,Очень познавательно и интересно.,Positive,0.85,"[0.76, 0.57, 0.16]"
USR_0029,Ночная жизнь,LOC_033,1515,4.3,Лучшая вечеринка года!,Positive,0.13,"[0.47, 0.35, 0.03]"
USR_0007,Музеи и искусство,LOC_046,668,4.0,Очень познавательно и интересно.,Positive,0.63,"[0.68, 0.69, 0.88]"
USR_0190,Ночная жизнь,LOC_018,466,2.7,"Музыка на любителя, но коктейли неплохие.",Neutral,0.31,"[0.29, 0.74, 0.1]"
USR_0071,Ночная жизнь,LOC_027,94,4.7,Лучшая вечеринка года!,Positive,0.35,"[0.49, 0.13, 0.24]"
USR_0063,Гастрономия,LOC_031,94,4.8,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.45,"[0.42, 0.59, 0.61]"
USR_0058,Шопинг,LOC_031,39,2.6,"Мало брендов, но чисто.",Neutral,0.57,"[0.74, 0.5, 0.51]"
USR_0036,Шопинг,LOC_016,1015,1.1,"Цены космос, выбор нулевой.",Negative,0.15,"[0.88, 0.57, 0.3]"
USR_0189,Парки и природа,LOC_030,469,4.9,Тихое и спокойное место для прогулок.,Positive,0.34,"[0.57, 0.59, 0.09]"
USR_0027,Музеи и искусство,LOC_036,625,1.8,"Скучно, неинтересно и дорого.",Negative,0.22,"[0.66, 0.27, 0.31]"
USR_0174,Шопинг,LOC_010,20,4.7,Отличные скидки и приветливый персонал.,Positive,0.27,"[0.67, 0.37, 0.76]"
USR_0190,Архитектура,LOC_025,1761,4.1,"Великолепная архитектура, обязательно к посещению.",Positive,0.85,"[0.59, 0.79, 0.05]"
USR_0140,Парки и природа,LOC_013,903,4.3,"Очень зелено, свежий воздух, идеально для отдыха.",Positive,0.55,"[0.65, 0.21, 0.76]"
USR_0023,Парки и природа,LOC_039,129,3.4,"Можно погулять, если живете рядом.",Neutral,0.64,"[0.8, 0.71, 0.07]"
USR_0152,Гастрономия,LOC_033,110,3.8,"Еда средняя, цены завышены.",Neutral,0.78,"[0.54, 0.27, 0.87]"
USR_0109,Музеи и искусство,LOC_048,111,4.8,Современное искусство на высшем уровне.,Positive,0.78,"[0.24, 0.26, 0.58]"
USR_0009,Шопинг,LOC_009,191,4.6,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.94,"[0.48, 0.26, 0.41]"
USR_0008,Шопинг,LOC_005,381,4.4,"Огромный выбор магазинов, нашел все что нужно.",Positive,0.76,"[0.76, 0.41, 0.77]"
USR_0024,Ночная жизнь,LOC_018,292,4.3,Отличная музыка и вкусные коктейли.,Positive,0.41,"[0.51, 0.18, 0.45]"
USR_0056,Парки и природа,LOC_050,182,4.2,Прекрасный ландшафтный дизайн.,Positive,0.56,"[0.66, 0.17, 0.37]"
USR_0060,Музеи и искусство,LOC_027,483,4.1,Экспозиция просто восторг!,Positive,0.51,"[0.59, 0.1, 0.08]"
USR_0130,Музеи и искусство,LOC_022,85,4.9,Современное искусство на высшем уровне.,Positive,0.88,"[0.62, 0.53, 0.27]"
USR_0155,Музеи и искусство,LOC_033,182,4.7,Экспозиция просто восторг!,Positive,0.53,"[0.56, 0.24, 0.6]"
USR_0007,Ночная жизнь,LOC_018,238,3.6,"Музыка на любителя, но коктейли неплохие.",Neutral,0.43,"[0.87, 0.35, 0.05]"
USR_0144,Гастрономия,LOC_001,314,4.1,Отличное обслуживание и прекрасное меню.,Positive,0.25,"[0.36, 0.42, 0.5]"
USR_0051,Шопинг,LOC_019,778,4.6,Отличные скидки и приветливый персонал.,Positive,0.37,"[0.63, 0.43, 0.59]"
USR_0184,Музеи и искусство,LOC_047,121,3.4,"Некоторые залы закрыты, но в целом пойдет.",Neutral,0.29,"[0.7, 0.18, 0.68]"
USR_0167,Ночная жизнь,LOC_020,371,4.8,Отличная музыка и вкусные коктейли.,Positive,0.86,"[0.36, 0.34, 0.75]"
USR_0180,Гастрономия,LOC_038,458,4.8,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.76,"[0.88, 0.3, 0.47]"
USR_0140,Ночная жизнь,LOC_038,33,3.1,"Слишком много людей, не протолкнуться.",Neutral,0.15,"[0.69, 0.13, 0.15]"
USR_0108,Архитектура,LOC_043,477,1.8,"Фасады обшарпаны, неприятно смотреть.",Negative,0.94,"[0.3, 0.6, 0.65]"
USR_0057,Парки и природа,LOC_032,103,3.4,"Можно погулять, если живете рядом.",Neutral,0.55,"[0.27, 0.53, 0.17]"
USR_0115,Шопинг,LOC_010,43,1.9,"Цены космос, выбор нулевой.",Negative,0.75,"[0.85, 0.38, 0.41]"
USR_0151,Ночная жизнь,LOC_029,1496,4.1,"Замечательная атмосфера, танцевали до утра.",Positive,0.95,"[0.75, 0.6, 0.1]"
USR_0072,Ночная жизнь,LOC_035,1695,4.3,Отличная музыка и вкусные коктейли.,Positive,0.93,"[0.49, 0.75, 0.75]"
USR_0002,Шопинг,LOC_031,836,4.1,Прекрасный торговый центр с удобной парковкой.,Positive,0.19,"[0.61, 0.64, 0.41]"
USR_0195,Парки и природа,LOC_023,191,4.3,Тихое и спокойное место для прогулок.,Positive,0.66,"[0.66, 0.77, 0.12]"
USR_0041,Архитектура,LOC_022,61,4.1,Очень красивое историческое место.,Positive,0.33,"[0.55, 0.47, 0.04]"
USR_0179,Гастрономия,LOC_036,586,2.6,"Нормально перекусить можно, но без изысков.",Neutral,0.79,"[0.85, 0.69, 0.43]"
USR_0109,Ночная жизнь,LOC_049,300,2.2,"Музыка слишком громкая, контингент сомнительный.",Negative,0.88,"[0.56, 0.74, 0.16]"
USR_0088,Парки и природа,LOC_035,75,3.2,"Обычный парк, маловато скамеек.",Neutral,0.15,"[0.6, 0.61, 0.12]"
USR_0072,Гастрономия,LOC_025,351,4.6,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.95,"[0.47, 0.52, 0.79]"
USR_0040,Гастрономия,LOC_030,27,3.8,"Нормально перекусить можно, но без изысков.",Neutral,0.29,"[0.55, 0.37, 0.88]"
USR_0056,Гастрономия,LOC_021,1210,4.8,Обязательно вернусь сюда снова ради этих десертов.,Positive,0.82,"[0.84, 0.63, 0.25]"
USR_0196,Архитектура,LOC_013,159,3.0,"Здания как здания, ничего особенного.",Neutral,0.78,"[0.87, 0.78, 0.41]"
USR_0087,Архитектура,LOC_045,553,4.2,"Великолепная архитектура, обязательно к посещению.",Positive,0.4,"[0.29, 0.39, 0.63]"
USR_0027,Гастрономия,LOC_016,196,4.1,"Невероятно вкусно, лучший ресторан в городе!",Positive,0.81,"[0.72, 0.31, 0.63]"
USR_0024,Музеи и искусство,LOC_037,377,1.5,"Зря потратили время, экспонатов почти нет.",Negative,0.82,"[0.8, 0.6, 0.84]"
USR_0098,Шопинг,LOC_025,405,3.2,"Обычный ТЦ, цены как везде.",Neutral,0.25,"[0.64, 0.24, 0.56]"
USR_0025,Архитектура,LOC_015,112,4.2,Потрясающие фасады зданий!,Positive,0.6,"[0.4, 0.34, 0.61]"
USR_0092,Музеи и искусство,LOC_050,1756,4.4,Очень познавательно и интересно.,Positive,0.79,"[0.89, 0.56, 0.86]"
USR_0089,Музеи и искусство,LOC_027,756,4.2,Экспозиция просто восторг!,Positive,0.69,"[0.55, 0.59, 0.29]"
USR_0155,Ночная жизнь,LOC_003,1412,4.3,Лучшая вечеринка года!,Positive,0.88,"[0.28, 0.35, 0.43]"
USR_0068,Шопинг,LOC_021,1136,4.3,Отличные скидки и приветливый персонал.,Positive,0.12,"[0.6, 0.57, 0.38]"
